old_url;new_url;old_name;new_name
/podarki_i_syveniri_k_23_fevralya/;/catalog/podarki_i_suveniry_k_prazdnikam/podarki_i_suveniry_k_23_fevralya/;Подарки и сувениры к 23 февраля;Подарки и сувениры к 23 февраля
/podarochnie_nabori_k_23_fevralya/;/catalog/podarki_i_suveniry_k_prazdnikam/podarki_i_suveniry_k_23_fevralya/podarochnye_nabory_k_23_fevralya/;Подарочные наборы к 23 февраля;Подарочные наборы к 23 февраля
/podarki_k_23_fevralya/;/catalog/podarki_i_suveniry_k_prazdnikam/podarki_i_suveniry_k_23_fevralya/podarki_k_23_fevralya/;Подарки к 23 февраля;Подарки к 23 февраля
/syveniri_k_23_fevralya/;/catalog/podarki_i_suveniry_k_prazdnikam/podarki_i_suveniry_k_23_fevralya/suveniry_k_23_fevralya/;Сувениры к 23 февраля;Сувениры к 23 февраля
/zonti/;/catalog/zonty/;Зонты;Зонты
/zonti-trost/;/catalog/zonty/zonty_trost/;Зонты-трость;Зонты-трость
/zonti_originalnie/;/catalog/zonty/zonty_originalnye/;Зонты оригинальные;Зонты оригинальные
/zonti_jenskie/;/catalog/zonty/zonty_zhenskie/;Зонты женские;Зонты женские
/zonti_myjskie/;/catalog/zonty/zonty_muzhskie/;Зонты мужские;Зонты мужские
/zonti_skladnie/;/catalog/zonty/zonty_skladnye/;Зонты складные;Зонты складные
/dorogie_zonti/;/catalog/zonty/dorogie_zonty/;Дорогие зонты;Дорогие зонты
/ejednevniki/;/catalog/ezhednevniki_i_bloknoty/;Ежедневники и блокноты;Ежедневники и блокноты
/ezhednevniki-po-individualnomu-dizajnu1/;;Ежедневники по индивидуальному дизайну;
/brunovisconti/;/catalog/ezhednevniki_i_bloknoty/brunovisconti/;BrunoVisconti;BrunoVisconti
/infolio/;/catalog/ezhednevniki_i_bloknoty/infolio/;Infolio;Infolio
/portobello_trend/;/catalog/ezhednevniki_i_bloknoty/portobello_trend/;Portobello Trend;Portobello Trend
/bloknoti/;/catalog/ezhednevniki_i_bloknoty/bloknoty/;Блокноты;Блокноты
/ejednevniki_happy_book/;/catalog/ezhednevniki_i_bloknoty/ezhednevniki_happy_book/;Ежедневники Happy Book;Ежедневники Happy Book
/ejednevniki_datirovannie/;/catalog/ezhednevniki_i_bloknoty/ezhednevniki_datirovannye/;Ежедневники датированные;Ежедневники датированные
/ejednevniki_nedatirovannie/;/catalog/ezhednevniki_i_bloknoty/ezhednevniki_nedatirovannye/;Ежедневники недатированные;Ежедневники недатированные
/ejednevniki_polydatirovannie/;/catalog/ezhednevniki_i_bloknoty/ezhednevniki_poludatirovannye/;Ежедневники полудатированные;Ежедневники полудатированные
/ejednevniki_tm_adutant/;/catalog/ezhednevniki_i_bloknoty/ezhednevniki_tm_adyutant/;Ежедневники ТМ "Адъютант";Ежедневники ТМ "Адъютант"
/ejenedelniki/;/catalog/ezhednevniki_i_bloknoty/ezhenedelniki/;Еженедельники;Еженедельники
/zapisnie_knigi/;/catalog/ezhednevniki_i_bloknoty/zapisnye_knigi/;Записные книги;Записные книги
/kojanie_ejednevniki/;/catalog/ezhednevniki_i_bloknoty/kozhanye_ezhednevniki/;Кожаные ежедневники;Кожаные ежедневники
/organaizeri/;/catalog/ezhednevniki_i_bloknoty/organayzery/;Органайзеры;Органайзеры
/planingi/;/catalog/ezhednevniki_i_bloknoty/planingi/;Планинги;Планинги
/ypakovka_dlya_ejednevnikov/;/catalog/ezhednevniki_i_bloknoty/upakovka_dlya_ezhednevnikov/;Упаковка для ежедневников;Упаковка для ежедневников
/kryjki/;/catalog/kruzhki/;Кружки;Кружки
/keramicheskie_kryjki/;/catalog/kruzhki/keramicheskie_kruzhki/;Керамические кружки;Керамические кружки
/kryjki_dlya_syblimacii/;/catalog/kruzhki/kruzhki_dlya_sublimatsii/;Кружки для сублимации;Кружки для сублимации
/kryjki_hameleon/;/catalog/kruzhki/kruzhki_khameleon/;Кружки Хамелеон;Кружки Хамелеон
/metallicheskie_kryjki/;/catalog/kruzhki/metallicheskie_kruzhki/;Металлические кружки;Металлические кружки
/plastikovie_kryjki/;/catalog/kruzhki/plastikovye_kruzhki/;Пластиковые кружки;Пластиковые кружки
/steklyannie_kryjki/;/catalog/kruzhki/steklyannye_kruzhki/;Стеклянные кружки;Стеклянные кружки
/gjel_rezerv/;/catalog/kruzhki/eko_kruzhki/;Эко кружки;Эко кружки
/promo_odejda/;/catalog/promo_odezhda/;Promo одежда;Promo одежда
/fytbolki/;/catalog/promo_odezhda/futbolki/;Футболки;Футболки
/dojdeviki/;/catalog/promo_odezhda/dozhdeviki/;Дождевики;Дождевики
/beisbolki/;/catalog/promo_odezhda/beysbolki/;Бейсболки;Бейсболки
/vetrovki/;/catalog/promo_odezhda/vetrovki/;Ветровки;Ветровки
/detskii_tekstil/;/catalog/promo_odezhda/detskiy_tekstil/;Детский текстиль;Детский текстиль
/tolstovki/;/catalog/promo_odezhda/tolstovki/;Толстовки;Толстовки
/kyrtki/;/catalog/promo_odezhda/kurtki/;Куртки;Куртки
/rybashki_ofisnie/;/catalog/promo_odezhda/rubashki_ofisnye/;Рубашки офисные;Рубашки офисные
/krasota_i_stil_jizni/;/catalog/promo_odezhda/bryuki/;Брюки;Брюки
/platki/;/catalog/promo_odezhda/platki/;Платки;Платки
/fartyki/;/catalog/promo_odezhda/fartuki/;Фартуки;Фартуки
/aksessyari/;/catalog/promo_odezhda/aksessuary/;Аксессуары;Аксессуары
/sharfi/;/catalog/promo_odezhda/sharfy/;Шарфы;Шарфы
/galstyki/;/catalog/promo_odezhda/galstuki/;Галстуки;Галстуки
/polo/;/catalog/promo_odezhda/polo/;Поло;Поло
/promosyveniri/;/catalog/promosuveniry/;Промосувениры;Промосувениры
/antistressi/;/catalog/promosuveniry/antistressy/;Антистрессы;Антистрессы
/breloki/;/catalog/promosuveniry/breloki/;Брелоки;Брелоки
/zajigalki/;/catalog/promosuveniry/zazhigalki/;Зажигалки;Зажигалки
/zerkala/;/catalog/promosuveniry/zerkala_i_kosmetika/;Зеркала и косметика;Зеркала и косметика
/lenti_dlya_beidjei/;/catalog/promosuveniry/lenty_dlya_beydzhey/;Ленты для бейджей;Ленты для бейджей
/ochki_i_binokli/;/catalog/promosuveniry/ochki_i_binokli/;Очки и бинокли;Очки и бинокли
/ryletki/;/catalog/promosuveniry/ruletki/;Рулетки;Рулетки
/syveniri_do_500_ryblei/;/catalog/promosuveniry/suveniry_do_500_rubley/;Сувениры до 500 рублей;Сувениры до 500 рублей
/tovari_dlya_syblimacii/;/catalog/promosuveniry/tovary_dlya_sublimatsii/;Товары для сублимации;Товары для сублимации
/fonari/;/catalog/promosuveniry/fonari/;Фонари;Фонари
/firma/;/catalog/ofis_i_biznes/;Офис и бизнес;Офис и бизнес
/zonti2/;/catalog/ofis_i_biznes/kalendari_stikery_nabory_bumag/;Календари стикеры наборы бумаг;Календари стикеры наборы бумаг
/symki_i_otdih/;/catalog/ofis_i_biznes/kantselyarskie_tovary/;Канцелярские товары;Канцелярские товары
/ofisnie_prinadlejnosti_i_biznes-aksessyari/;/catalog/ofis_i_biznes/ofisnye_prinadlezhnosti_i_biznes_aksessuary/;Офисные принадлежности и бизнес-аксессуары;Офисные принадлежности и бизнес-аксессуары
/pishyshie_prinadlejnosti/;/catalog/ofis_i_biznes/papki_oblozhki_tetradi/;Папки обложки тетради;Папки обложки тетради
/podstavki_dlya_vizitok/;/catalog/ofis_i_biznes/podstavki_dlya_vizitok/;Подставки для визиток;Подставки для визиток
/vizitnici/;/catalog/ofis_i_biznes/vizitnitsy/;Визитницы;Визитницы
/kanctovari/;/catalog/ofis_i_biznes/nastolnye_organayzery_i_podstavki_dlya_ruchek/;Настольные органайзеры и подставки для ручек;Настольные органайзеры и подставки для ручек
/pyteshestvie/;/catalog/puteshestvie_i_otdykh/;Путешествие и отдых;Путешествие и отдых
/naboridlya_avtomobilya/;/catalog/puteshestvie_i_otdykh/aksessuary_dlya_avtomobilya/;Аксессуары для автомобиля;Аксессуары для автомобиля
/aksessyari_dlya_piknika_i_barbeku/;/catalog/puteshestvie_i_otdykh/aksessuary_dlya_piknika_i_barbekyu/;Аксессуары для пикника и барбекю;Аксессуары для пикника и барбекю
/dom_i_obraz_jizni/;/catalog/dom_i_obraz_zhizni/;Дом и образ жизни;Дом и образ жизни
/instrymenti_rychnie/;/catalog/dom_i_obraz_zhizni/instrumenty_ruchnye/;Инструменты ручные;Инструменты ручные
/vazi/;/catalog/dom_i_obraz_zhizni/vazy/;Вазы;Вазы
/vinnie_i_kyritelnie_aksessyari/;/catalog/dom_i_obraz_zhizni/vinnye_i_kuritelnye_aksessuary/;Винные и курительные аксессуары;Винные и курительные аксессуары
/interer/;/catalog/dom_i_obraz_zhizni/interer/;Интерьер;Интерьер
/nabori_dlya_chistki_obyvi/;/catalog/dom_i_obraz_zhizni/nabory_dlya_chistki_obuvi/;Наборы для чистки обуви;Наборы для чистки обуви
/pledi/;/catalog/dom_i_obraz_zhizni/pledy/;Пледы;Пледы
/polotenca/;/catalog/dom_i_obraz_zhizni/polotentsa/;Полотенца;Полотенца
/posyda/;/catalog/dom_i_obraz_zhizni/posuda_i_tovary_dlya_kukhni/;Посуда и товары для кухни;Посуда и товары для кухни
/sad/;/catalog/dom_i_obraz_zhizni/sad/;Сад;Сад
/svechi/;/catalog/dom_i_obraz_zhizni/svechi/;Свечи;Свечи
/fotoramki_i_fotoalbomi/;/catalog/dom_i_obraz_zhizni/fotoramki_i_fotoalbomy/;Фоторамки и фотоальбомы;Фоторамки и фотоальбомы
/chasi/;/catalog/dom_i_obraz_zhizni/chasy_i_pogodnye_stantsii/;Часы и погодные станции;Часы и погодные станции
/biznes-podarki/;/catalog/biznes_podarki/;Бизнес-подарки;Бизнес-подарки
/nagradnaya_prodykciya/;/catalog/biznes_podarki/nagradnaya_produktsiya/;Наградная продукция;Наградная продукция
/bymajniki/;/catalog/biznes_podarki/bumazhniki/;Бумажники;Бумажники
/podarki_dlya_myjchin/;/catalog/biznes_podarki/podarki_dlya_muzhchin/;Подарки для мужчин;Подарки для мужчин
/dlya_milih_dam/;/catalog/biznes_podarki/dlya_milykh_dam/;Для милых дам;Для милых дам
/kalendari/;/catalog/biznes_podarki/kalendari/;Календари;Календари
/papki/;/catalog/biznes_podarki/papki/;Папки;Папки
/podarki_kollegam/;/catalog/biznes_podarki/podarki_kollegam/;Подарки коллегам;Подарки коллегам
/rossiiskii_podarok/;/catalog/biznes_podarki/rossiyskiy_podarok/;Российский подарок;Российский подарок
/syveniri_nastolnie/;/catalog/biznes_podarki/suveniry_nastolnye/;Сувениры настольные;Сувениры настольные
/vip_podarki/;/catalog/biznes_podarki/vip_podarki/;VIP подарки;VIP подарки
/podarochnie_nabori/;/catalog/podarochnye_nabory/;Подарочные наборы;Подарочные наборы
/xindao_rezerv/;/catalog/podarochnye_nabory/vkusnye_podarochnye_nabory/;Вкусные подарочные наборы;Вкусные подарочные наборы
/nabori_s_ejednevnikami/;/catalog/podarochnye_nabory/nabory_s_ezhednevnikami/;Наборы с ежедневниками;Наборы с ежедневниками
/podarochnie_nabori_dlya_ofisa/;/catalog/podarochnye_nabory/podarochnye_nabory_dlya_ofisa/;Подарочные наборы для офиса;Подарочные наборы для офиса
/podarochnie_nabori_dlya_myjchin/;/catalog/podarochnye_nabory/podarochnye_nabory_dlya_muzhchin/;Подарочные наборы для мужчин;Подарочные наборы для мужчин
/podarochnie_nabori_dlya_dam/;/catalog/podarochnye_nabory/podarochnye_nabory_dlya_dam/;Подарочные наборы для дам;Подарочные наборы для дам
/podarki_i_syveniri_k_prazdnikam/;/catalog/podarki_i_suveniry_k_prazdnikam/;Подарки и сувениры к праздникам;Подарки и сувениры к праздникам
/novii_god_i_rojdestvo/;/catalog/podarki_i_suveniry_k_prazdnikam/novyy_god_i_rozhdestvo/;Новый год и рождество;Новый год и рождество
/podarki_i_syveniri_k_9_maya/;/catalog/podarki_i_suveniry_k_prazdnikam/podarki_i_suveniry_k_9_maya/;Подарки и сувениры к 9 мая;Подарки и сувениры к 9 мая
/podarki-i-suveniry-k-8-marta/;/catalog/podarki_i_suveniry_k_prazdnikam/podarki_i_suveniry_k_8_marta/;Подарки и сувениры к 8 марта;Подарки и сувениры к 8 марта
/podarki_i_syveniri_k_12_iunya/;/catalog/podarki_i_suveniry_k_prazdnikam/podarki_i_suveniry_k_12_iyunya/;Подарки и сувениры к 12 июня;Подарки и сувениры к 12 июня
/podarki_vipysknikam/;/catalog/podarki_i_suveniry_k_prazdnikam/podarki_vypusknikam/;Подарки выпускникам;Подарки выпускникам
/vkysniee_podarochnie_nabori/;/catalog/vkusnye_podarki/;Вкусные подарки;Вкусные подарки
/sladkie_podarki/;/catalog/vkusnye_podarki/sladkie_podarki/;Сладкие подарки;Сладкие подарки
/detskie_tovari/;/catalog/detskie_podarki/;Детские подарки;Детские подарки
/igri_nastolnie/;/catalog/detskie_podarki/igry_nastolnye/;Игры настольные;Игры настольные
/igri_ylichnie/;/catalog/detskie_podarki/igry_ulichnye/;Игры уличные;Игры уличные
/myagkaya_igryshka/;/catalog/detskie_podarki/myagkaya_igrushka/;Мягкая игрушка;Мягкая игрушка
/podarki_ychenikam/;/catalog/detskie_podarki/podarki_uchenikam/;Подарки ученикам;Подарки ученикам
/podarochnaya_ypakovka/;/catalog/podarochnaya_upakovka/;Подарочная упаковка;Подарочная упаковка
/ypakovka_dlya_usb_fleshek/;/catalog/podarochnaya_upakovka/upakovka_dlya_usb_fleshek/;Упаковка для USB флешек;Упаковка для USB флешек
/podarki-k-23-fevralya-do-700-rub/;;Недорогие подарки на 23 февраля;
/originalnye-podarochnye-bokaly-k-23-fevralya/;;Оригинальные подарочные бокалы к 23 февраля;
/kollekciya-hard-work/;;Коллекция Hard Work;
/eklektika_primo/;;Быстрая поставка;
/kopiya-podarki-i-suveniry-k-8-marta-otgruzka-v-den-zakaza!/;;Подарки и сувениры к 8 марта - отгрузка в день заказа;
/podarki-i-suveniry-k-23-fevralya-otgruzka-v-den-zakaza!/;;Подарки и сувениры к 23 февраля - отгрузка в день заказа;
/ezhednevniki-i-ruchki-za-1-den/;;Ежедневники за 1 день;
/zonty-po-specpredlozheniyu/;;Зонты за один день;
/novogodnie-podarki-i-suveniry/;;Новогодние подарки и сувениры в день заказа;
/termostakany-i-termokruzhki-s-vashim-logotipom/;;Посуда;
/rasprodazha-s-maksimalnoj-skidkoj/;;Распродажа скидки до 80%;
/termosy-termokruzhki-lanchboksy/;;Термосы и бутылки;
/sportivnie_bytilki/;;Спортивные бутылки;
/termokryjki/;;Термокружки;
/termosi/;;Термосы;
/lanchboksy/;;Ланчбоксы;
/cofery/;;Коферы;
/kruzhki-s-vashim-logotipom/;;Кружки с логотипом;
/kofery/;;Кружки для кофе;
/elektronika/;;Электроника;
/fleshki/;;Флешки;
/rychki/;;Ручки с логотипом;
/promo_symki/;;Сумки с логотипом;
/symki_dlya_pokypok_i_plyaja/;;Шопперы и сумки для пляжа;
/holshovie_symki/;;Холщовые сумки;
/rukzaki/;;Рюкзаки;
/kosmetichki/;;Косметички;
/symki_dlya_konferencii/;;Сумки для конференций;
/symki_i_chehli_dlya_noytbyka/;;Сумки и чехлы для ноутбука;
/dorojnie_symki/;;Дорожные сумки;
/portfeli/;;Портфели;
/panamy/;;Панамы;
/svitshoty-i-hudi/;;Свитшоты и Худи;
/zhilety-s-logotipom/;;Жилеты;
/shapki/;;Шапки;
/sumki-poyasnye/;;Сумки поясные;
/symki-holodilniki/;;Сумки-холодильники;
/aksessuary-dlya-brendirovaniya-ryukzakov-i-sumok/;;Аксессуары для брендирования рюкзаков и сумок;
/promo-suveniry-do-50-rub/;;Промо сувениры до 50 руб;
/neobychnye-podarki-i-kreativnye-suveniry/;;Оригинальные сувениры и необычные подарки;
/peshehodnye-svetootrazhateli/;;Пешеходные светоотражатели;
/sredstva-individualnoj-zashhity/;;Защита здоровья;
/chasi_i_elektronika/;;Часы для офиса;
/golovolomki/;;Головоломки;
/chehli_dlya_chemodanov/;;Чехлы для чемоданов;
/plyajnie_prinadlejnosti/;;Пляжные принадлежности;
/flyajki/;;Фляжки;
/letnie-suveniry-i-podarki/;;Летние сувениры и подарки;
/derevyannye-svetilniki-i-levitiruyushhie-lampy.php/;;Деревянные светильники и левитирующие лампы;
/uvlazhniteli-vozduha/;;Забота о безопасности здоровья;
/chasy-v-podarok/;;Часы в подарок;
/podarki-dlya-sotrudnikov-na-karantine/;;Подарки для сотрудников на карантине;
/suveniry-rabotayu-iz-doma/;;Сувениры на удаленке;
/nabory-s-zaryadnym-ustrojstvom/;;Наборы с зарядным устройством;
/nabory-s-kolonkami/;;Наборы с колонками;
/nabory-s-pledami/;;Наборы с пледами;
/nabory-s-termokruzhkami/;;Наборы с термокружками;
/nabory-s-fleshkami/;;Наборы с флешками;
/podarki-i-suveniry-na-den-stroitelya/;;День Строителя;
/podarki-na-den-medika/;;День Медицинского работника;
/den-znanij/;;День Знаний;
/den-aviacii/;;День Авиации;
/podarki-i-suveniry-na-den-buhgaltera/;;День Бухгалтера;
/podarki-i-suveniry-na-den-vmf/;;День ВМФ;
/podarki-i-suveniry-na-den-geologa/;;День Геолога;
/den-zheleznodorozhnika/;;День железнодорожника;
/den-molodezhi/;;День Молодежи;
/den-metallurga/;;День Металлурга;
/den-neftyanika/;;День Нефтяника;
/podarki-i-suveniry-na-den-policii/;;День Полиции;
/den-programmista/;;День Программиста;
/suveniry-na-den-radio-i-svyazi/;;День Радио и связи;
/den-uchitelya/;;День Учителя;
/podarki-i-suveniry-na-den-himika/;;День Химика;
/podarki-i-suveniry-na-14-fevralya/;;14 февраля;
/den-shahtera/;;День Шахтера;
/den-sisadmina/;;День Сисадмина;
/otdih/;;Сувениры и подарки для спортсменов;
/odejda_dlya_sporta/;;Одежда для спорта;
/sportivnie_igri/;;Спортивные игры;
/sportivnie_symki/;;Спортивные сумки;
/tovari_dlya_fitnesa/;;Спортивные товары;
/fitnes_nabori/;;Фитнес наборы;
/fytbolnie_syveniri/;;Футбольные сувениры;
/shahmaty/;;Шахматы;
/varene-i-myod/;;Варенье мед и мармелад;
/dlya-glintvejna/;;Для глинтвейна;
/kofe-i-chaj/;;Кофе и чай;
/nabory-s-chaem-kofe-i-sladostyami/;;Наборы с чаем кофе и сладостями;
/shokolad-i-konfety/;;Шоколад и конфеты;
/detskie-nabory-v-period-karantina/;;Детские подарки для on-line мероприятий;
/eko-syveniri/;;ЭКО-сувениры;
/prodykti_pererabotki/;;Продукты переработки;
/eko-bloknoti/;;ЭКО-блокноты;
/eko-karandashi/;;ЭКО-карандаши;
/eko-kybi/;;ЭКО-кубы;
/eko-podarki/;;ЭКО-подарки;
/eko-symki/;;ЭКО-сумки;
/suveniry-iz-pererabotki/;;Сувениры из переработанных материалов;
/pakety/;;Пакеты;
/torsheri_rezerv/;;Сувенирные бренды;
/yoliba/;;Yoliba;
/brendy/brunovisconti/;;BrunoVisconti;
/lettertone/;;Lettertone;
/portobello-trend/;;Portobello Trend;
/prodir/;;Prodir;
/senator/;;Senator;
